,BBCA,BBRI,BMRI,BYAN,TPIA,TLKM,BBNI,ASII,ICBP,BRIS,AMRT,UNVR,HMSP,DSSA,SMMA,UNTR,ISAT,BRPT
2020-12-23,33625,4160,6350,15500,9150,3320,6250,6000,9525,2270,765,7425,1505,14975,11500,26075,5650,1225
2020-12-24,33625,4160,6350,15500,9150,3320,6250,6000,9525,2270,765,7425,1505,14975,11500,26075,5650,1225
2020-12-25,33625,4160,6350,15500,9150,3320,6250,6000,9525,2270,765,7425,1505,14975,11500,26075,5650,1225
2020-12-28,33900,4250,6525,14450,9375,3430,6450,6075,9475,2270,860,7450,1505,14900,11600,26925,5650,1210
2020-12-29,33825,4180,6425,14425,9350,3420,6300,6050,9300,2290,840,7350,1515,15900,11400,26500,5275,1140
2020-12-30,33850,4170,6325,15475,9075,3310,6175,6025,9575,2250,800,7350,1505,16000,11400,26600,5050,1100
2020-12-31,33850,4170,6325,15475,9075,3310,6175,6025,9575,2250,800,7350,1505,16000,11400,26600,5050,1100
2021-01-01,33850,4170,6325,15475,9075,3310,6175,6025,9575,2250,800,7350,1505,16000,11400,26600,5050,1100
2021-01-04,34175,4310,6500,15475,9325,3490,6375,6225,9575,2360,800,7475,1515,16175,11450,26650,5800,1110
2021-01-05,35450,4270,6425,15475,9400,3470,6500,6175,9450,2350,785,7375,1510,16150,11450,26300,5575,1160
2021-01-06,34725,4200,6425,15475,9575,3370,6400,6150,9425,2510,780,7200,1480,15400,10825,25800,5450,1140
2021-01-07,34825,4280,6475,15475,9900,3390,6425,6075,9500,2710,765,7200,1480,14500,12600,26800,5900,1130
2021-01-08,35250,4390,6550,16000,10050,3570,6475,6425,9525,2860,775,7175,1505,14450,11725,27275,5900,1170
2021-01-11,36725,4650,6850,16000,10075,3600,6525,6525,9525,3040,780,7200,1510,14375,11400,26550,5900,1180
2021-01-12,35800,4720,6950,16000,9950,3510,6500,6525,9425,3760,765,7100,1505,14500,12000,26225,5900,1180
2021-01-13,35600,4790,6925,15900,10100,3480,6525,6775,9325,3770,795,7025,1505,14500,12000,26200,6375,1175
2021-01-14,35100,4770,6850,15875,10150,3500,6450,6775,9350,3760,835,7000,1485,14500,12000,26300,6200,1160
2021-01-15,34775,4580,6725,16000,10125,3480,6325,6575,9375,3670,810,6950,1460,14250,12000,26200,6150,1145
2021-01-18,35600,4620,6925,15800,10300,3450,6300,6675,9625,3420,795,7500,1480,14250,12000,26700,5725,1075
2021-01-19,35475,4620,6975,15500,10300,3410,6225,6675,9750,3190,790,7575,1475,14250,11850,25925,5675,1000
2021-01-20,35475,4890,7375,15600,10350,3470,6425,6675,9675,3650,790,7400,1480,14250,11800,25975,5825,1060
2021-01-21,35375,4790,7250,15600,10425,3480,6425,6800,9575,3480,800,7325,1480,14250,12000,25900,5625,1070
2021-01-22,35400,4720,7200,15600,10375,3390,6275,6700,9475,3240,790,7275,1460,13750,11800,25175,5475,1020
2021-01-25,35175,4780,7300,15600,10200,3370,6225,6475,9500,3240,810,7250,1435,13750,12000,24250,5375,985
2021-01-26,34100,4650,7375,15200,10350,3260,6075,6350,9500,3020,800,7250,1420,13750,12000,23950,5425,1060
2021-01-27,33950,4620,7300,15600,10350,3380,5975,6275,9500,2810,795,7125,1405,13750,12000,23400,5500,995
2021-01-28,34500,4470,7050,14700,10350,3240,5775,6275,9350,2620,795,7075,1350,12800,11550,23875,5175,930
2021-01-29,33800,4180,6575,14500,10175,3110,5550,6100,9100,2440,780,6925,1310,11950,12000,22850,5025,885
2021-02-01,34100,4400,6700,14500,10625,3230,5850,6025,9225,2800,780,7025,1360,11950,12000,23850,5100,990
2021-02-02,34000,4360,6475,14500,10575,3270,5900,5975,9500,2610,785,7000,1405,11950,12000,22575,5375,1145
2021-02-03,34125,4380,6500,14500,10700,3240,6300,6150,9425,2750,780,7175,1430,11950,12000,22450,5175,1115
2021-02-04,34275,4490,6575,14500,10750,3290,6275,6200,9325,2680,780,7300,1395,11950,11775,22350,5575,1115
2021-02-05,34575,4470,6550,14700,10925,3290,6300,6100,9225,2710,780,7225,1405,11950,12000,23100,5450,1165
2021-02-08,34600,4460,6575,14150,11075,3280,6300,6100,9100,2960,780,7100,1410,11950,12000,24325,5500,1190
2021-02-09,34900,4620,6500,13975,11275,3200,6225,5825,8800,2830,780,7100,1390,11900,12000,23525,5500,1145
2021-02-10,34600,4650,6500,14000,10750,3190,6200,5900,9000,2870,800,7150,1370,11900,12000,23475,5800,1155
2021-02-11,34400,4680,6500,14000,10825,3190,6200,5850,8975,2870,800,7175,1385,11900,12000,23500,5950,1170
2021-02-12,34400,4680,6500,14000,10825,3190,6200,5850,8975,2870,800,7175,1385,11900,12000,23500,5950,1170
2021-02-15,34000,4710,6500,13900,11200,3220,6225,5950,8975,2870,790,7050,1400,11900,12000,23250,6050,1185
2021-02-16,34700,4670,6475,13900,11225,3210,6350,5925,8825,2900,790,7025,1395,11900,12025,23100,6075,1160
2021-02-17,34500,4630,6350,14000,10975,3150,6150,5800,8825,2740,780,7100,1375,11925,12000,22850,5775,1090
2021-02-18,33675,4670,6250,14000,10425,3180,6025,5725,8750,2700,810,6975,1365,12525,12000,22975,5575,1055
2021-02-19,34125,4790,6375,14000,10275,3210,6000,5775,8600,2690,800,6950,1370,12525,12000,23075,5700,1045
2021-02-22,33950,4790,6375,14000,10250,3170,5925,5700,8625,2770,880,6875,1380,12475,11600,23250,6000,1020
2021-02-23,34125,4790,6325,13025,10225,3470,5950,5725,8550,2790,870,6850,1365,12500,12000,23125,5800,1080
2021-02-24,33625,4730,6375,13275,9850,3480,6075,5625,8650,2820,1005,6850,1350,12500,12025,22550,5675,1035
2021-02-25,33525,4730,6275,13250,9925,3490,6075,5575,8575,2960,1010,6775,1360,12500,12000,23650,5700,1055
2021-02-26,33550,4710,6150,13500,9750,3490,5950,5400,8575,2940,1020,7000,1335,12500,12000,22550,5550,1100
2021-03-01,35225,4830,6575,13500,9600,3490,6225,5600,8600,2920,1065,6825,1335,13750,12000,22950,5775,1065
2021-03-02,35075,4800,6600,13500,9775,3460,6150,5575,8700,2850,995,6825,1440,13750,12200,22900,5575,1090
2021-03-03,35000,4850,6600,13975,9775,3440,6025,5675,8725,2810,940,6875,1405,13725,12200,22775,5650,1065
2021-03-04,33600,4760,6550,13975,9725,3360,6000,5575,8600,2680,905,6725,1465,12800,12200,22350,5750,1025
2021-03-05,34000,4770,6475,13000,9425,3320,6000,5500,8500,2630,950,6725,1445,12750,12500,21800,5625,1025
2021-03-08,33600,4730,6425,12250,9550,3340,6000,5550,8375,2680,945,6650,1435,12500,12675,23325,5675,1025
2021-03-09,33025,4580,6425,13000,9525,3290,5975,5525,8325,2620,920,6550,1405,12450,13400,22525,5600,1000
2021-03-10,33525,4630,6500,13000,9875,3400,6050,5425,8375,2570,985,6575,1400,12450,13425,21200,5450,1015
2021-03-11,33525,4630,6500,13000,9875,3400,6050,5425,8375,2570,985,6575,1400,12450,13425,21200,5450,1015
2021-03-12,33825,4580,6725,13600,10575,3450,6150,5475,8375,2620,985,6700,1435,12475,13500,21225,5650,1060
2021-03-15,33325,4570,6650,13000,10525,3380,6325,5525,8500,2600,980,6575,1435,12475,13500,21100,5625,1025
2021-03-16,33125,4720,6550,13000,10650,3360,6225,5550,8600,2680,1015,6550,1410,12475,13500,21175,6175,1030
2021-03-17,33050,4670,6525,12975,10825,3390,6100,5575,8625,2700,970,6475,1420,12475,13500,21050,6050,1010
2021-03-18,33525,4760,6800,12800,10925,3450,6275,5725,8700,2720,970,6600,1440,12475,13300,21700,6600,1020
2021-03-19,33800,4670,6775,12500,11000,3440,6150,5775,8825,2670,985,6750,1535,12500,14900,21875,6650,1025
2021-03-22,33100,4630,6625,12500,11000,3380,6100,5575,8825,2620,955,6700,1475,12500,14875,21625,6200,1010
2021-03-23,32825,4670,6675,12500,10900,3360,6100,5575,9200,2590,905,6750,1425,12500,14825,21450,6150,985
2021-03-24,32200,4670,6425,12475,10525,3370,5950,5450,9250,2600,905,6575,1375,12500,14125,21100,6150,1000
2021-03-25,31850,4620,6400,12475,10725,3410,5900,5450,8950,2490,890,6650,1375,12500,14150,21350,6675,970
2021-03-26,32075,4720,6425,12475,10900,3490,6050,5600,9100,2540,890,6600,1375,12500,14150,21900,6475,945
2021-03-29,31800,4720,6375,12475,10975,3410,6050,5525,9225,2450,890,6725,1380,12500,14100,21800,6400,1005
2021-03-30,31975,4500,6325,12475,11275,3380,5800,5400,9075,2350,860,6550,1365,12500,14275,21500,6250,990
2021-03-31,31075,4400,6150,12475,11125,3420,5725,5275,9200,2290,900,6575,1375,12500,14400,22125,6275,960
2021-04-01,31125,4290,6200,12500,11125,3390,5675,5350,8950,2330,885,6625,1370,12500,14400,22175,6400,945
2021-04-02,31125,4290,6200,12500,11125,3390,5675,5350,8950,2330,885,6625,1370,12500,14400,22175,6400,945
2021-04-05,30775,4200,6225,12475,11000,3380,5750,5350,8925,2230,870,6475,1355,12500,14400,22200,6375,960
2021-04-06,30825,4200,6275,12475,11050,3370,5825,5350,8825,2260,895,6475,1350,12500,14400,22325,6900,985
2021-04-07,31250,4200,6325,12500,10950,3400,5775,5325,8900,2240,945,6525,1350,12500,14350,22325,6850,980
2021-04-08,30675,4350,6275,12500,11100,3390,5800,5300,8800,2440,995,6600,1370,12500,14300,22575,6700,1020
2021-04-09,31000,4350,6475,12400,11050,3360,6000,5275,8875,2380,975,6475,1370,12500,14300,22725,6625,990
2021-04-12,30325,4210,6300,12275,10950,3310,5850,5075,8650,2270,970,6325,1345,12500,14300,21425,6350,960
2021-04-13,30000,4160,6300,12275,10825,3330,5800,5075,8625,2270,950,6225,1335,12500,14225,22525,6525,950
2021-04-14,31525,4350,6325,12025,10925,3340,5900,5250,8750,2330,980,6300,1340,12500,13800,22250,6700,975
2021-04-15,31400,4410,6300,12500,10775,3360,5975,5250,8750,2300,970,6400,1335,12500,13700,21700,6475,985
2021-04-16,31375,4340,6300,12300,10675,3360,5950,5250,8950,2330,965,6325,1330,12500,13700,22075,6525,975
2021-04-19,31350,4380,6225,12300,10425,3340,5875,5200,8950,2460,925,6300,1315,12500,13425,22200,6400,950
2021-04-20,31175,4310,6200,12150,10350,3320,5925,5300,8900,2380,910,6225,1345,12500,13325,22000,6425,965
2021-04-21,30825,4230,6125,12550,10250,3280,5775,5225,8800,2340,920,6100,1325,12500,13600,22475,6500,940
2021-04-22,31075,4200,6125,12600,10275,3330,5675,5450,8750,2340,950,6125,1315,12500,13525,21550,6475,925
2021-04-23,31950,4250,6150,12700,10275,3310,5775,5625,8875,2320,960,6075,1305,12500,13525,21600,6475,930
2021-04-26,31425,4140,5975,13400,10100,3250,5725,5625,8700,2310,945,6125,1300,12500,13525,21550,6550,910
2021-04-27,32025,4170,6050,15000,9975,3160,5900,5525,8600,2290,920,6025,1295,12500,13100,21600,6450,955
2021-04-28,31600,4130,6200,14500,10100,3140,5825,5350,8575,2220,925,6075,1325,12500,13000,21425,6525,975
2021-04-29,32050,4160,6225,14100,9950,3200,5875,5425,8625,2260,925,6050,1310,12500,13100,21375,6550,985
2021-04-30,32025,4050,6175,14550,10075,3200,5700,5500,8700,2280,950,6000,1320,12500,13100,21175,6575,1000
2021-05-03,31950,4010,6050,14700,9900,3170,5575,5425,8550,2240,935,5900,1305,12500,13100,20950,6275,965
2021-05-04,32000,4060,6100,14300,9700,3210,5625,5500,8525,2250,935,5750,1300,12500,13100,21575,6200,1000
2021-05-05,32125,4090,6050,14300,9650,3200,5675,5525,8525,2280,935,5775,1300,12500,13200,22175,6300,975
2021-05-06,32125,4110,6075,14150,9475,3190,5700,5425,8500,2420,940,5550,1300,12500,13000,21800,6275,945
2021-05-07,32000,4050,5950,14300,9350,3190,5600,5325,8450,2310,935,5525,1290,12500,13000,21750,6200,930
2021-05-10,32100,4050,5975,14325,9100,3170,5575,5375,8600,2280,915,5700,1295,12500,13000,21750,6125,925
2021-05-11,32400,3990,5900,14200,8725,3180,5525,5225,8525,2250,905,5625,1300,12500,13000,21450,6075,925
2021-05-12,32400,3990,5900,14200,8725,3180,5525,5225,8525,2250,905,5625,1300,12500,13000,21450,6075,925
2021-05-13,32400,3990,5900,14200,8725,3180,5525,5225,8525,2250,905,5625,1300,12500,13000,21450,6075,925
2021-05-14,32400,3990,5900,14200,8725,3180,5525,5225,8525,2250,905,5625,1300,12500,13000,21450,6075,925
2021-05-17,32500,3900,5925,14225,8225,3190,5500,5175,8250,2100,880,5600,1255,12400,13000,21425,5975,870
2021-05-18,31950,3900,5900,14200,7975,3180,5450,5150,8300,2010,895,5575,1260,12400,13000,21900,6100,880
2021-05-19,31725,3870,5675,14200,7450,3160,5250,5050,8275,1905,895,5450,1220,11550,13000,21875,5950,875
2021-05-20,31900,3880,5650,14050,7625,3310,5250,5175,8375,1925,925,5625,1255,11550,12475,22025,6375,930
2021-05-21,31800,3890,5825,14400,7975,3270,5325,5050,8325,1855,925,5575,1250,11550,12650,21675,6600,900
2021-05-24,31625,4040,5750,15400,7675,3260,5300,5100,8200,1760,905,5725,1260,11550,12000,21200,6300,850
2021-05-25,31775,4060,5900,15150,7525,3300,5325,5075,8175,1850,935,5675,1270,11550,11975,21500,6400,860
2021-05-26,31775,4060,5900,15150,7525,3300,5325,5075,8175,1850,935,5675,1270,11550,11975,21500,6400,860
2021-05-27,31350,3950,5750,15175,7650,3380,5150,5150,8275,1830,910,5825,1290,11550,11500,21650,6200,855
2021-05-28,31700,4070,5800,15200,7575,3270,5200,5150,8125,1870,910,5775,1275,11000,11500,21825,6250,890
2021-05-31,31875,4260,6000,14150,7925,3440,5400,5250,8200,1905,905,5850,1270,10800,12000,22550,6350,900
2021-06-01,31875,4260,6000,14150,7925,3440,5400,5250,8200,1905,905,5850,1270,10800,12000,22550,6350,900
2021-06-02,32325,4260,6100,14150,7925,3450,5550,5325,8225,1925,910,5850,1305,10800,11500,23775,6625,910
2021-06-03,33000,4360,6250,13825,7775,3490,5750,5350,8700,1920,910,5775,1305,10800,11400,23650,6925,930
2021-06-04,32900,4340,6125,13850,7825,3500,5625,5225,8450,2050,910,5650,1315,10800,11700,23525,6650,885
2021-06-07,32650,4250,6125,13675,7750,3550,5525,5250,8350,1915,910,5625,1325,10800,11500,22975,6700,885
2021-06-08,32150,4200,6000,13600,7700,3500,5525,5275,8175,1825,970,5475,1235,10800,11275,23425,6375,855
2021-06-09,32650,4220,6150,13600,8075,3390,5625,5325,8150,1860,1115,5300,1200,10800,11275,23375,6800,860
2021-06-10,33100,4300,6200,13625,8075,3480,5675,5400,8150,1880,1230,5300,1215,10800,11200,22600,6900,865
2021-06-11,32350,4280,6275,13850,8000,3470,5675,5275,8175,1835,1215,5350,1205,10800,11400,22975,6775,860
2021-06-14,32050,4350,6275,14175,8300,3410,5550,5175,8150,1810,1160,5250,1180,10800,11600,22500,6900,825
2021-06-15,32350,4230,6325,13925,9325,3440,5525,5150,8150,1795,1165,5175,1180,10800,12050,22050,6750,880
2021-06-16,31925,4010,6275,14000,9425,3410,5375,5150,8175,1780,1230,5200,1180,10800,11425,22650,6525,860
2021-06-17,31650,4030,6200,14100,9575,3350,5250,5100,8125,1855,1240,5075,1160,10800,12100,22000,6550,850
2021-06-18,31625,3910,6200,14000,9450,3350,4940,5000,7750,1765,1245,4900,1125,10800,14425,22775,6825,860
2021-06-21,31250,3940,6025,13750,9425,3300,4970,4920,7925,1725,1205,5100,1105,10800,14425,21600,7100,835
2021-06-22,31700,4040,6175,13800,9775,3300,4950,4920,8050,1810,1250,5050,1125,10050,13475,21625,7200,925
2021-06-23,31150,3940,6025,14100,9950,3370,4850,4930,7975,1750,1285,4990,1115,10050,12550,21100,6975,915
2021-06-24,31050,3990,5975,13800,9950,3250,4820,4940,8025,1725,1265,4960,1125,10050,12100,21300,6875,915
2021-06-25,30950,3990,5900,13825,10050,3250,4760,4920,8025,1945,1280,5000,1160,10050,12450,21350,6950,895
2021-06-28,30275,3930,5700,13800,9750,3170,4580,4710,7975,2250,1240,5025,1205,9350,11725,20400,6900,860
2021-06-29,30225,3900,5775,13650,9725,3160,4580,4840,8250,2190,1245,5000,1225,9250,12600,20250,7050,865
2021-06-30,30125,3940,5900,13600,9825,3150,4630,4940,8150,2300,1250,4950,1215,9250,12075,20250,6850,855
2021-07-01,30125,3940,5975,13600,9850,3110,4700,5025,8500,2280,1245,5225,1195,9250,12100,20325,6425,870
2021-07-02,30500,3990,5950,13525,9750,3070,4830,5000,8425,2230,1245,5150,1205,9250,12100,20400,6400,855
2021-07-05,30550,3900,5850,13600,9550,3040,4720,4940,8225,2160,1250,4950,1170,9200,11500,20225,6275,840
2021-07-06,30275,3890,5775,13950,9550,3010,4710,4900,8400,2180,1345,5000,1155,10600,11300,20750,6350,870
2021-07-07,30325,3820,5750,13800,9825,3030,4730,4900,8450,2330,1340,4930,1150,12475,11000,20375,6150,890
2021-07-08,30075,3870,5900,13775,9800,3010,4760,4880,8475,2430,1335,4860,1145,14450,10550,20050,6075,875
2021-07-09,30100,3800,5775,13775,9925,3160,4640,4910,8550,2380,1355,4890,1155,14500,10500,19500,6075,890
2021-07-12,30850,3760,5800,13675,10000,3130,4700,4920,8825,2360,1365,5025,1140,14375,10750,19475,6450,855
2021-07-13,30225,3780,5775,13575,9875,3070,4670,4900,8950,2290,1315,5100,1145,14375,10550,19025,6075,840
2021-07-14,29950,3710,5700,13500,9850,3060,4580,4730,8700,2350,1295,5100,1115,14050,10975,18600,6100,820
2021-07-15,30575,3810,5875,13525,9750,3130,4720,4810,8675,2390,1305,5150,1115,13100,11200,19225,6125,805
2021-07-16,30550,3840,5875,13625,9575,3170,4810,4880,8575,2440,1290,5150,1120,12300,10700,19300,6075,810
2021-07-19,30025,3780,5750,13750,9100,3220,4820,4780,8500,2590,1255,5075,1110,12000,10800,19100,6150,810
2021-07-20,30025,3780,5750,13750,9100,3220,4820,4780,8500,2590,1255,5075,1110,12000,10800,19100,6150,810
2021-07-21,30050,3820,5925,13750,8900,3210,4900,4870,8500,2570,1230,5125,1110,12000,10750,19050,6050,810
2021-07-22,30775,3900,6050,13800,8875,3260,5150,4980,8825,2580,1255,5025,1150,12800,11300,20125,6100,835
2021-07-23,30175,3870,5975,13850,8750,3170,5075,4950,8650,2640,1240,4800,1130,12825,10850,19750,5950,810
2021-07-26,30025,3830,5800,13875,8750,3190,5050,4770,8725,2680,1255,4700,1115,12150,11200,20200,6050,805
2021-07-27,30025,3800,5825,14025,8800,3270,5025,4760,8500,2710,1255,4500,1105,12875,10875,20000,5925,875
2021-07-28,29900,3730,5900,14100,8850,3190,4960,4710,8500,2800,1385,4450,1090,12850,10500,19775,5700,870
2021-07-29,30200,3770,5750,14500,9075,3230,4930,4650,8350,2820,1380,4330,1085,13000,10500,19750,6000,955
2021-07-30,29850,3710,5700,14400,9400,3240,4780,4720,8125,2630,1350,4220,1045,13150,10750,19550,5900,970
2021-08-02,29800,3740,5675,14400,9300,3310,4820,4820,8125,2600,1425,4400,1050,15425,10750,19300,5950,1040
2021-08-03,30725,3750,5775,14650,9350,3330,4950,4940,8225,2540,1385,4380,1065,15000,10675,19150,5950,1030
2021-08-04,30600,3850,5825,14800,9425,3370,5050,4900,8175,2580,1375,4330,1055,15000,10225,18925,5975,1040
2021-08-05,31500,4050,6050,14900,9350,3340,5200,4890,8150,2700,1350,4440,1060,15000,10300,18900,6100,1090
2021-08-06,30800,3930,5975,14950,9375,3320,5125,4940,8275,2690,1365,4420,1075,16100,10450,18900,6150,1125
2021-08-09,31000,3850,5800,14975,9200,3250,4980,4860,8150,2510,1440,4310,1065,16100,10450,18700,6000,1100
2021-08-10,31500,3820,5800,15000,9200,3230,4990,4910,8050,2340,1440,4250,1050,16850,10100,19000,6175,1035
2021-08-11,31500,3820,5800,15000,9200,3230,4990,4910,8050,2340,1440,4250,1050,16850,10100,19000,6175,1035
2021-08-12,31500,3810,5925,15075,9150,3350,5075,4940,8075,2350,1400,4210,1040,18000,10200,20700,6325,1085
2021-08-13,32050,3870,6000,15000,9250,3300,5100,5025,8200,2370,1405,4250,1035,17500,10575,20650,6500,1075
2021-08-16,32100,3930,5975,15100,9025,3340,5150,5075,8250,2250,1405,4150,1025,17500,10800,20175,6275,1050
2021-08-17,32100,3930,5975,15100,9025,3340,5150,5075,8250,2250,1405,4150,1025,17500,10800,20175,6275,1050
2021-08-18,33000,4070,6050,14975,9100,3420,5425,5225,8350,2170,1310,4230,990,17500,11000,19725,5975,1130
2021-08-19,33000,3880,5850,14950,8950,3390,5300,5150,8150,2060,1230,4110,965,17500,10975,19300,6100,1080
2021-08-20,33000,3930,5900,14925,8975,3400,5425,5100,8150,2150,1290,4070,955,16275,10975,19000,6525,1085
2021-08-23,32950,3960,5975,15000,8850,3440,5350,5100,8225,2200,1200,4060,975,17400,10800,19025,6500,1085
2021-08-24,33000,3890,5825,14825,8600,3400,5325,5075,8200,2180,1295,4080,960,17500,11200,18825,6350,1125
2021-08-25,33000,3890,5950,15000,8600,3370,5250,5150,8225,2200,1270,4170,975,17500,11500,19125,6425,1095
2021-08-26,32800,3870,5825,15000,8575,3360,5225,5100,8225,2190,1280,4090,960,17500,11050,19275,6400,1055
2021-08-27,32550,3840,5800,14825,8375,3320,5300,5050,8300,2160,1290,4030,950,17500,12025,19475,6350,1060
2021-08-30,32825,3940,5950,14700,8650,3400,5400,5275,8600,2210,1330,4130,980,17500,11800,20000,6425,1055
2021-08-31,32750,3930,6100,14825,7850,3400,5400,5225,8425,2220,1350,4050,1000,17500,11750,20075,6325,1065
2021-09-01,32825,3890,6000,14800,7675,3340,5325,5175,8400,2180,1300,4100,1000,17500,11750,20050,6250,1020
2021-09-02,32700,3870,6050,14775,7600,3370,5250,5250,8450,2140,1305,4150,1000,17500,11750,20325,6300,1015
2021-09-03,33000,3930,6125,14800,7550,3390,5450,5350,8475,2140,1350,4240,1015,17500,11750,21375,6300,1020
2021-09-06,32875,3850,6200,14775,7400,3390,5450,5425,8525,2130,1345,4250,1015,17500,11500,21750,6600,1010
2021-09-07,32850,3910,6250,14750,7125,3380,5400,5350,8425,2110,1350,4250,1045,17500,11500,21550,6700,1000
2021-09-08,32200,3730,6250,14750,6975,3330,5325,5250,8425,2070,1350,4100,1010,17500,11000,20900,6475,970
2021-09-09,32850,3730,6350,14100,6850,3390,5400,5450,8525,2040,1360,4100,1005,17500,10250,21800,6675,1010
2021-09-10,32600,3780,6200,14500,7200,3330,5450,5425,8500,2090,1365,4080,1005,17500,10200,21225,6675,1005
2021-09-13,32775,3700,6150,14600,7050,3350,5400,5450,8425,2130,1380,4040,995,17500,10000,20875,6725,1010
2021-09-14,32725,3700,6100,14775,7075,3440,5400,5525,8450,2120,1380,4050,1015,17500,9975,21400,6975,1010
2021-09-15,32475,3660,6125,14975,7000,3450,5350,5400,8375,2090,1385,4040,995,17500,10250,21650,7000,995
2021-09-16,32500,3640,6150,15075,7475,3440,5275,5375,8225,2150,1375,4010,975,17500,10350,21650,7125,1000
2021-09-17,32600,3610,6050,15125,7450,3530,5300,5425,8150,2150,1435,3950,970,17500,10500,20500,6900,1025
2021-09-20,32925,3590,6025,15100,7250,3520,5150,5300,8125,2080,1370,3880,955,17500,10225,20575,6800,990
2021-09-21,32450,3570,5975,15175,7375,3530,5125,5225,8300,2070,1385,3840,970,17500,10200,20600,6850,975
2021-09-22,32775,3610,6075,15200,7250,3590,5150,5275,8200,2110,1385,4040,975,17500,10300,20875,6725,980
2021-09-23,32900,3770,6075,15900,7200,3560,5125,5150,8250,2140,1380,4050,990,17500,10350,21075,6700,995
2021-09-24,32925,3820,5975,17425,7200,3560,5100,5150,8300,2110,1330,3970,975,17500,10350,22075,6600,975
2021-09-27,32900,3750,5900,18300,7150,3520,5075,5175,8350,2070,1395,3860,970,17500,10600,22875,6400,965
2021-09-28,32600,3720,5950,21350,7125,3530,5050,5075,8225,2060,1395,3820,975,17500,10600,24000,6275,975
2021-09-29,32900,3740,6000,25400,7050,3530,5225,5325,8225,2040,1405,3920,1005,17500,10600,25500,6450,980
2021-09-30,35000,3850,6150,29450,7200,3690,5375,5500,8350,2040,1380,3950,1030,17500,10600,26000,6650,965
2021-10-01,33800,3900,6100,27400,7050,3660,5350,5450,8325,2040,1340,3860,1020,20500,10600,26000,6275,955
2021-10-04,34800,3970,6475,27325,7125,3670,5700,5575,8650,2120,1330,3980,1050,20500,10600,27100,6375,975
2021-10-05,34725,3930,6425,27950,7000,3670,5700,5550,8825,2080,1325,4150,1065,23775,10475,26100,6400,930
2021-10-06,35900,4120,6600,28850,7275,3760,6000,5975,8850,2200,1305,4270,1075,25000,10475,26525,6375,945
2021-10-07,35800,4120,6700,29000,7250,3720,5975,5700,8850,2140,1295,4830,1125,24725,10700,25900,6400,950
2021-10-08,36450,4160,6900,28700,7325,3800,6150,5900,8900,2150,1290,4760,1120,24725,10700,26125,6350,965
2021-10-11,36275,4180,6900,28600,7075,3810,6400,5775,8850,2090,1275,4830,1100,24775,10700,26350,6300,925
2021-10-12,36600,4220,7000,29000,7050,3780,6400,5875,8875,2080,1260,4930,1125,24975,10700,26275,6150,925
2021-10-13,7525,4280,7100,28300,6950,3770,6675,6275,8950,2080,1175,5250,1160,24975,10700,26225,6100,920
2021-10-14,7750,4250,7175,28400,7225,3830,6875,6225,9325,2090,1245,5325,1145,24975,10700,25700,6275,925
2021-10-15,7650,4320,7150,28350,7150,3810,6750,6250,9275,2130,1265,5225,1140,24900,10800,25500,6500,945
2021-10-18,7525,4410,7175,28050,7200,3790,7075,6225,9300,2250,1235,5100,1150,24900,10750,26300,6800,955
2021-10-19,7500,4400,7200,27700,7250,3740,7225,6350,9300,2210,1220,5125,1130,24900,10750,25650,6900,980
2021-10-20,7500,4400,7200,27700,7250,3740,7225,6350,9300,2210,1220,5125,1130,24900,10750,25650,6900,980
2021-10-21,7400,4360,7175,26275,7175,3850,7325,6150,9225,2150,1290,5000,1115,24900,11000,24700,6900,990
2021-10-22,7525,4400,7200,25500,7525,3870,7450,6175,9100,2160,1245,4850,1115,27800,11000,23700,7175,975
2021-10-25,7525,4300,7125,26400,7725,3780,7350,6050,9100,2130,1245,4580,1100,29600,11000,24000,6975,965
2021-10-26,7525,4350,7175,26600,7625,3800,7275,6150,9100,2150,1260,4640,1100,33300,11000,24500,6925,975
2021-10-27,7450,4290,7150,26500,7650,3790,7075,6000,8850,2140,1240,4540,1050,32825,10900,24500,6950,975
2021-10-28,7375,4240,7025,26500,7425,3750,7050,6000,8800,2080,1185,4440,1040,31200,11000,23000,7100,930
2021-10-29,7475,4250,7175,26000,7600,3800,7000,6025,8800,2110,1195,4420,1035,31000,11000,23550,6925,935
2021-11-01,7400,4230,7175,25650,7600,3700,6850,6025,8800,2090,1205,4420,1025,31000,11100,23600,7325,935
2021-11-02,7300,4210,7025,24150,7500,3660,6800,5900,8850,2070,1155,4470,1000,31300,11100,23000,7050,920
2021-11-03,7350,4290,7125,24575,7425,3720,7025,5975,8775,2090,1175,4450,1000,31250,11100,22325,7000,920
2021-11-04,7375,4250,7175,25975,7325,3770,7000,5975,8800,2060,1200,4450,1000,31800,11100,22400,7175,935
2021-11-05,7450,4240,7100,26000,7175,3770,6950,5925,8800,2080,1195,4430,1005,32050,11100,22400,7000,970
2021-11-08,7575,4230,7000,25825,7200,3750,7050,5925,8900,2090,1200,4460,1000,34000,11100,23150,7225,975
2021-11-09,7675,4250,6875,26000,7350,3710,7050,5850,8925,2080,1190,4430,1000,40800,11100,23050,7075,970
2021-11-10,7650,4250,7150,25825,7275,3700,7075,6175,8900,2080,1195,4370,1000,48500,11100,22550,7000,975
2021-11-11,7675,4250,7225,25975,7375,3650,7025,6175,8850,2070,1205,4660,1035,50550,11200,22375,7050,970
